關鍵字,選區,編號,姓名,政見
親子,[鄉鎮市長]金門縣金城鎮,2,歐陽彥木,"1.建構金城鎮文旅，成為金門觀光旅遊新亮點。
2.打造一村一特色，落實村落社區活化的範本。
3.成立鎮民服務站，馬上處理鎮民問題的管道。
4.招商引資建金城，全面提振金城古鎮的活力。
5.照顧老人全方位長照2.0，社區供餐、醫療慰問及日照。
6.營區整合青創、職訓區，提供青年文創啓動及職訓基地。
7.結合民俗文化園，活潑宗教親子親善活動。
8.輔導商業新模式，邁入全部互聯網+的時代。
9.全面解決金城停車問題近程+遠程計劃。
10.爭取設置急診中心及醫院設置。
11.舊金城古城營造，城牆及老街活化建造，落實結合書院及古崗樓、水頭，成為觀光及活動旅遊亮點。
12.規劃海岸休閒產業及遊艇觀光碼頭特區及海蚵觀光產業大道。"
公園,[鄉鎮市長]金門縣金沙鎮,4,王石堆,"一、修正金沙鎮都市計畫，擴大自然村範圍，辦理土地重劃，積極爭取興建公辦國宅，促進城市改造。
二、協助各社區興建活動中心，並添購軟硬體設備，供照顧弱勢、長輩、幼兒們的關懷與照護之社福工作。
三、廣覓公地開挖池塘增加灌溉水源，涵養金門地下水，並落實污水處理回收再運用及廣闢農業道路完成整建。
四、加強兩岸經濟、文化、學術、宗教等交流活動，積極協助推動金嶝大橋之興建，營造商機及推動沙美傳統地方產業和創造就業機會。
五、結合銘傳大學海上休閒活動計畫，開發碼頭觀光景點，逐年進行各區、段濱海道路之興建。
六、積極與文化園區結合，爭取設立大型兒童遊憩處所，供老人、婦女、兒童休憩及進修，以提昇鎮民生活品質。
七、研提爭取鎮內各營區活化與撥用案，推動公共造產，充裕自治財源。
八、打造金沙斗門溪、光前溪、榮湖、金沙水庫，成立親水公園，帶動觀光旅遊人潮。
九、全力進行金沙鎮綠美化工作，整修沙美市容，使美麗金沙風華再現。"
公園/遊戲,[鄉鎮市長]金門縣金沙鎮,2,吳有家,"一、當選後編列預算，發放金沙鎮旅遊消費券，活絡金沙鎮經濟。
二、專案申請撥用特色營區、公共造產，輔導青創場所之建構。
三、規劃金沙綠色廊道，積極推廣金沙之美。
四、規劃榮湖為櫻花公園，結合前水頭、后水頭，與石雕公園，使其成為金沙亮點，及供鎮民休憩的場所。
五、積極爭取金沙鎮大型綜合舘，含兒童遊戲。
六、整合社區，以里為中心，建構老人供餐，與關懷據點，積極爭取二歲以下托育（已於107年4月13日正式提案）。
七、積極爭取污水建構，以利後續整建與美化。
八、重新啟動沙美市場、金沙戲院、沙美老街、大佛園區、港口碼頭、合宜住宅、官澳海堤內彎之規劃與追踨，每半年跟鄉親報告進度。
九、打造一個親民、便民、主動、積極的服務團隊。"
公園,[鄉鎮市長]金門縣金湖鎮,1,林長鴻,1.關懷弱勢族群，長照福利推動。2.推動支持每村里長者供餐。3.活化廢棄營區打造賞花、住宿區。4、整治山外溪水岸、亮點結合昇恆昌大、小太湖成為一休憩區。5.推動金湖藝文活動市集、夜晚休閒好去處。6.建設新市里籃球場成風雨球場。7.打造一村里一特色。8.新頭段爭取國家公園撤出。9.推廣地區農特產銷售。10.爭取環保課、臨時約雇、以日計酬人員、每年健康檢查。11.爭取金湖沿岸設藍色公路。
公園,[鄉鎮市長]金門縣金寧鄉,1,楊忠俊,"一、設置與民有約民意平台，堅持「以人為本，以民意為優先」。
二、行政革新，簡政便民，設置鄉政便民單一窗口，適才適用，全面服務。
三、積極與其他鄉鎮橫縱連繫，建設發展，繁榮地方。
四、設置多元性的運動場館，推動社區總體營造，照顧關懷據點。
五、落實民生基礎建設「路平、燈亮、水溝通、排汙設施全面設置」，提升優質生活環境。
六、捍衛鄉土，收小國家公園佔據範圍，檢視慈湖劃設濕地政策及對周邊土地規畫之配套。
七、積極爭取早期軍方不當取得佔用土地，加速歸還於民，以確保民眾權益。
八、配合土地重劃，以金門大學為中心，擘劃興辦農地重劃，辦理周邊土地規畫，增進土地利用價值，整併道路、拉近城鄉，讓金寧型塑成為金門副都心。
九、定期辦理社區、宗親暨廟宇管委會及村里長聯繫會報，傾聽各類組織建言，輔導具有特色之地方民俗文化、藝文活動、生活美學，倡導心靈改革，提升鄉親優質文化水平。
十、關懷照顧弱勢族群，接納新住民，定期辦理並鼓勵鄉轄社區，擬多元性、跨社區，具特色之「福利化社區旗艦型」計畫方案。
十一、整合地方建設計劃，積極爭取中央政府建設經費與督促各項公共工程建設品質。
十二、開發農村特色，促成農商經建結合；提出農村再生計劃。
十三、環境綠美化，生態自然景觀，打造黃金海岸，闢建觀光休閒海口。
十四、延續地方宗教民俗文化，緬懷鄉賢僑居奮鬥歷史，推動聯通社文化傳承及文創專區開發。
十五、設置公辦托幼中心。	
十六、闢建社區周邊廢營區活化，注入文創概念，打造樂活休閒園區。
十七、整併金門大學及寧中小園區，打造大學城，帶領金寧文教區域魅力亮點形成。"
親子,[鄉鎮市長]金門縣烈嶼鄉,1,洪燕玉,"一、全面提升醫療品質，增加醫護人員進駐。
二、督促金門大橋興建品質、進度。大型停車場，旅遊服務區。
三、增建休閒碼頭，大膽碼頭，遊艇專用碼頭。
四、打造花海，海上花嶼，結合戰地史蹟，活化閩南建築，藝術、文創、文化，豐富生態，潮間帶，加強觀光資源發展。
五、擴大各自然村範圍，盡速興建合宜住宅。
六、重視高齡，獨居問題，弱勢族群，婦幼社福，整合托嬰、托老、老人送餐、課輔，建置多功能演藝廳及健身養生、運動、親子教育空間。
七、增建祭祀廳，倡導節葬簡葬及移風易俗。
八、重視農民漁牧發展，設立農民漁牧特產品加工區及地方特色購物商圈。
九、提昇網路設備，水電地下化。
十、提供新住民更優質的教育、就業、活動聯誼平台。"
親子/公園,[鄉鎮市長]宜蘭縣宜蘭市,1,江聰淵,"聰淵四年前就任市長，以空間規劃、產業觀光、教育文化、社會福利等四大面向做為施政主軸，致力於宜蘭市的軟硬體建設，四年來在市公所及所有市民的支持與鼓勵之下，逐步完成階段性的工作，並且在多項評比中獲得佳績殊榮。  聰淵有信心在未來進一步以「城市再造、宜蘭永興」的行動策略，讓宜蘭市成為現代化的藝文、健康、樂活、智慧、花園城市。

◎願景一、歷史藝文城市：厚植在地藝文能量、擴增藝文展演空間、建構文史教育場域、完善蘭城導覽系統、推動國際藝術交流、完成市政中心更新計畫。
◎願景二、安全健康城市：持續爭取鐵路高架化、完善防汛系統、提升宜蘭河濱休閒環境、建構友善親子空間、活絡長青關懷據點、推廣戶外探索教育。
◎願景三、產業樂活城市：友善商圈環境、持續騎樓整平、強化傳統市場機能、活化閒置空間、增設停車空間、深化青創育成環境、推廣食農教育。
◎願景四、科技智慧城市：強化社區治安影像系統、建構智慧型圖書館、提供友善閱讀環境、創新幼兒園教學模式、完成智慧農園、推廣綠能設施。
◎願景五、生態花園城市：營造地景藝術進行城市行銷、綠美化市區微空間及街角巷弄、完成金六結環保公園、推廣城市生態復育、老舊建築美妝計畫。"
親子,[鄉鎮市長]宜蘭縣羅東鎮,1,薛呈懿,"開創新政才能延續宜蘭價值，堅持正義終能找回黨外精神。
荒腔走板的縣府為何有恃無恐？八年空轉的鎮績怎會問鼎大位？原因是藍綠兩黨表面上相互制衡，實際他們已形成輪番上陣的共犯結構，他們一起抗拒年輕人的聲音，聯手迴避新時代的課題！今日的宜蘭需要告別派系的改變，此刻的羅東需要超越補助的遠見!因此，我們要用新世代的政治文化守護羅東家園，我們要鼓起勇氣堅持做對的事情!
【羅東翻轉】啟動羅東夜巿升級計畫，帶動羅東四千多家大店小鋪提昇發展；南門生活圈通盤規劃，推動公有地興建立體停車場，支持郊區興建果菜批發巿場， 化解南門生活圈二十年交通死結。面對停滯多年而始終不敢處理的傳統巿場與觀光夜巿，我們將導入城鄉規劃專業而擬定策略、架構公民參與模式來凝聚共識，讓羅東從陳舊的傳統巿場與觀光夜巿開始脫胎換骨，再創昔日羅東的繁華榮景!
【溪南共好】攜手農會、食農業者、新世代農業青年推動宜蘭農業轉型，學童營養午餐與長青食堂導入飲食設計機制與獎勵措施，讓農民生意好做、鎮民日子好過，孩子吃得開心又健康。溪南六鄉鎮本是互動緊密的成熟生活圈，過去因行政區域劃分、政黨利益壁壘而重重阻隔，從產地到餐桌的道路竟是如此遙遠！我們將發揮羅東商業優勢，結合周圍農產趨勢，讓羅東成為溪南新農業的產銷平台與產售櫥窗。
【生活友善】社區活動中心推動以親子為主題的社會創新空間，同步推動社區安全、弱勢關懷、銀髮照護等多項創新措施，讓羅東洋溢點點溫暖；因應教育趨勢並發揮社造特色，規劃羅東學習地圖與鄉土教育課程，讓羅東成為孩子們快樂成長、多元學習、挑戰未來的友善場域。「希望新政治，年輕新鎮長」，羅東是我們的家園，不是政客的戰場；宜蘭是我們的故鄉，不是派系的樂園。請與我們共創美好，守護幸福。讓我們從這一刻起翻轉羅東，改變宜蘭！更多政見內容及交流討論請至臉書搜尋「薛呈懿Hsueh ChengYi」"
親子/公園,[鄉鎮市長]宜蘭縣頭城鎮,1,曹乾舜,"鎮政繼續拚、幸福大頭城
        建設延伸、文化深耕、經濟創生、觀光加溫、福利提昇、幸福滿分。
一、持續爭取「建設滿分」： 
1、持續爭取台二線石城至福隆段截彎取直。 
2、持續爭取台二庚線延伸線(山腳道路二城至烏石港)。
3、爭取淡蘭古道(生態長步道)整合重建計畫。
4、劃設下埔生態園區(水岸城市)、設置自行車專用道。
5、爭取頭城污水處理廠及污水下水道系統建置計畫。
6、督促金馬橋、竹安橋拓寬改建工程早日興建完成。
7、配合縣府爭取北宜直鐵及鐵路高架化。 
8、配合縣府爭取大溪漁港擴建及防波堤延長計畫。 
9、爭取「頭城搶孤」納入文化部無形文化資產。
10、配合縣府爭取漁鐵五漁村跨域整合亮點計畫。       
二、永續營造「文化深耕」：
1、繼續推動「山、海、港頭城老街人文散步道」人行空間改善計畫。 
2、持續投入「頭城老街」人文景觀意象營造、藝術介入空間計畫。
3、持續辦理「福神弄龜」頭城老街文化創意活動。 
4、持續輔導協助在地社團辦理老街文創活動，並加以推廣。
5、配合宜蘭縣政府推動「頭城老街十三行街屋歷史景觀都市計畫變更」 
6、設計及行銷頭城四大名家文創商品。
三、活化鎮產「經濟創生」： 
1、舊公所商業用地整體規畫活化。 
2、興闢產業道路活化武營山鎮有土地。 
3、活化開發九股山「山海文創環保公園」。 
4、配合縣府開發烏石港213地號停車用地。 
5、配合縣府開發濱海森林遊憩園區。 
6、配合縣府、漁業署烏石港國際觀光酒店BOT案。 
7、妥善利用百合陵園閒置空間增設納骨塔位及推動環保樹葬(保留)。 
8、開闢大里濱海公園遊客服務站。 
9、整建龜山島鎮有房舍活化經營。
10、爭取頭城搶孤文化園區設置假日觀光夜市。
四、加強行銷「觀光加溫」： 
1、以「山海明珠、閃耀頭城」為訴求持續擴大觀光行銷。 
2、每年固定開發文創商品做為城市行銷利器。
3、擴大「音浪城海洋文化節」活動創造沙灘音樂活動領導品牌。 
4、配合東北角管理處舉辦濱海觀光特色體驗活動。
5、結合縣內大學爭取教育部產學合作行銷計畫。 
6、推動數位寬頻應用街區計畫。 
7、爭取設置港口衝浪街形象商圈。 
8、推動港澳沙灘遊憩專區規劃。 
9、設置下埔綠色隧道休閒公園。
五、全面照顧「福利提昇」： 
1、配合長照2.0計畫輔導社區設置「老來寶健康促進家園」。 
2、擴大辦理「頭城好歌聲」全民歌唱比賽。
3、爭取全新免費接駁公車，並增設接駁路線。 
4、婦女生育補助無上限、幼兒福利再加碼。 
5、持續辦理doc數位機會中心課程。
6、輔導社區增設長青食堂、關懷據點。
7、興建烏石港重劃區兒童遊樂公園。 
8、增設運動公園老、中、青休閒運動專區及室內親子館。
9、建置獨居老人救援警報系統。
10、提昇長青進修學苑師資、課程，建立高齡樂活退休宜居城市。"
親子,[鄉鎮市長]宜蘭縣頭城鎮,2,薛文進,"一、清廉政治，公所人事公開透明，杜絶賣官弊端。
二、督促縣府早日要求鐵路局增設頭城後站，便利鎮民出入；梗枋舊橋結構
        補強，開放做為自行車及機車通行專用橋。爭取宜三線外環道路早日闢
        建(交通)
三、加碼生育獎勵，生三個補助五萬，生四個補助拾萬；爭取縣府設立親子
        館與托育中心。(婦幼)
四、籌畫鎮有公共造產，擴大地方財源；規劃開發武營山休閒農業區，增進
        地方休閒觀光農業產值。(農漁發展)
五、整合漁業生產與觀光發展，有系統發展海上休憩產業；協助娛樂漁船有
        序增加，提高營運產值；保護漁業資源，清理海底廢棄漁網；依魚貨時
        令產季，開辦魩仔魚節、白帶魚節，提高漁民收益。(產業經濟)
六、督促縣府加速營造沿海五漁村地方創新建設，強化新港澳休閒農業區遊
        憩帶多元發展，整備條件規劃烏石港經武營山、仙公廟到金面山之休閒
        纜車，以利飽覽東北角海天風情，吸引游憩人潮。(教育運動)
七、提升鎮民運動休閒活動，選定適合區域開闢棒壘球運動場；竹安河堤南
        岸闢建釣魚專業區；規劃市區慢活健走通道。(育樂)
八、七十歲以上鎮民，生日致送豬腳麵線、年節禮品；普化開辦全鎮各社區
        長青食堂。(社福老人)
九、編列經費，大力招商引進獨具特色創新商店，強化遊憩服務能量；檢討
        拔雅工業區公共設施利用，歡迎無污染工業生產製造到頭城。
十、公開透明規劃舊公所與市場改建及周遭都市計畫檢討，為老街區建置空
        間親民現代的鎮民廣場；活用鎮立圖書館成為青年創新創業及育成基地
        。"
公園,[鄉鎮市長]宜蘭縣壯圍鄉,1,沈清山,"※加速壯五市區都市計劃開發，活化繁榮壯五市區。
※爭取加速闢建「壯圍海濱公園」，優化海岸觀光景點，推動國際級海岸觀光景區。
※爭取狹窄鄉道優先辦理拓寬。縣民大道延伸連結濱海公路，便利民眾通行。
※爭取宜蘭河、美福大排推動水域休閒運動觀光。爭取設置游泳池，提供鄉民優質運動場所。
※結合縣府以觀光農業、無毒農業行銷壯圍農特產。爭取農業區開放民宿經營，創造就業機會。
※爭取養殖漁業專用海水供應管線，優化養殖魚業基地。
※持續加強農水路、巷道更新養護，維護鄉民通行便利與安全。
※兵器試驗場、汙水處理場饋金優先使用於受影響村里，強化受影響村里基礎建設。
※推動長照、托育、婦女就業三合一計畫。輔導社區開辦長青食堂，廣設老人關懷據點。加強
  老人及弱勢、殘障民眾、新住民各種福利照顧。
※鄉立幼兒園提供幼童免學費、免營養午餐費。設籍本鄉一定時間之幼童優先入學，解決鄉
  內學齡前幼兒收托問題，減輕家長負擔。
※視公所財政狀況檢討爭取鄰長現有福利政策。
※協助社區班隊、寺廟、宗教各項活動健全社團功能。協助警、消、義消、民防、義警、環保
  志工、愛心媽媽各項服勤裝備。"
公園,[鄉鎮市長]宜蘭縣員山鄉,1,張宜樺,"一、捍衛農地資產，關心農民權益，不讓農地價值流失。
二、尚德橋下游堤防旁公有地，開闢為棒球場、壘球場、足球場等具有多功能大型活動廣場，方便民眾運動及休閒。
三、促請宜蘭縣政府儘速完成金泰路擴寬工程，保障用路人權益。
四、爭取辦理尚德村至湖東村路段高壓電塔地下化，保障鄉親權益。
五、督促縣政府儘速完成童玩公園員山園區軟硬體設施及設備，早日開放民眾使用，帶動地方觀光發展。
六、解決員山大街上下班及假日塞車影響民眾通行問題。
七、解決望龍埤風景區長期以來停車位不足的現象。
八、爭取經費設立農產品市集，減輕本鄉農產品長途跋涉載往外鄉鎮販售及方便鄉親採購。
九、爭取經費辦理內城、尚德地區農地重劃，提昇農事耕作的便利並增加農民收益。
十、督促公路主管機關辦好新城橋改建工程，方便前往大枕山地區民眾通行。
十一、爭取經費使宜五線（山腳觀光道路）全線貫通，帶動觀光產業發展。
十二、添購大型清潔機具及車輛，定期清理排水溝及整理環境，徹底消滅疾病孳生源。
十三、增加鄉立幼兒園幼兒收托人數，使鄉內幼童受教權受到充份保障。
十四、妥善規畫本鄉老人文康中心，使其成為多功能集會場所。
十五、擴大辦理老人營養午餐，解決鄉內獨居及料理餐食不便老人中午用餐問題，減輕子女負擔。
十六、爭取提高福園回饋金，並確實應用於受福園影響之村里。
十七、完成每村有社區活動中心或集會所可使用之目標，同時解決老舊社區活動中心用地問題。
十八、妥善規畫及開發員山鄉溫泉，結合鄉內三大休閒農業區、民宿業者及飯店，讓外地遊客願意到本鄉旅遊、住宿，帶動本鄉觀光產業的發展。
十九、積極爭取經費辦理大湖風景區、望龍埤風景區、雷公埤、太陽埤風景區各項投資建設，帶動地方進步與發展。
二十、加強蘭陽溪員山段堤防基礎強固維修工作，保障民眾生命財產安全。
二十一、辦好老人居家照顧、長照服務等老人福利工作，使鄉內老人得以安養晚年。
二十二、加強社區及社區各班隊經費補助，促進社區健全發展。
二十三、落實及加強家禽家畜防治工作，有效控制疫情，減少農民損失。
二十四、加強鄉內歷史文化資料之搜集及編輯，使本鄉歷史文化得以永續流傳及保存。
二十五、維護員工應有權益，關心退休員工的生活，安定工作情緒，提昇行政效率。
二十六、有效運用鄉有財源，辦好鄉內各項建設，減少浪費。
二十七、營造鄉公所為親善和諧、便利的洽公空間，使鄉親洽公能受到完善的服務。
二十八、妥善處理鄉內野貓、野狗街道奔跑危害民眾安全及造成環境髒亂問題。"
